id,title,restriction,acceptance,additional_information,modification,notes,views,medical_condition_id,created_at,updated_at
16,"Alergia ","Asegurar: a) Los procedimientos no van a exponer al donante a ningún elemento al que sean alérgicos. Ej., yodo, látex, lidocaína (anteriorimente conocida como lignocaína). // Informar al centro de transplante si: a) Las células pertenecen a un individuo con una alergia ya conocida.",,,,,0,57,03/14/2018 19:35:25,03/14/2018 19:35:25
17,"Alergia a los Alimentos ",,,,,,0,58,03/14/2018 19:35:25,03/14/2018 19:35:25
18,"Alergia al Látex ",,,,"Para incluir una referencia cruzada para ""Alergia al látex""",,0,59,03/14/2018 19:35:25,03/14/2018 19:35:25
19,"Alitretinoína ",No debe donar si han transcurrido menos de cuatro semanas desde la última dosis de Alitretinoína (Toctino),,"La alitretinoína es una droga análoga a la tretinoína e isotretinoína, usadas para tratar el acné y ezcema. El tratamiento con retinoides como la alitretinoína puede causar defectos de nacimiento en bebés expuestos a ellos antes del nacimiento. Es importante dar tiempo a que el donante elimine la droga de su organismo. En la página de información sobre drogas, se recomienda un aplazamiento de un mes para la donación.  ",Nueva entrada,,0,60,03/14/2018 19:35:25,03/14/2018 19:35:25
20,Analgésicos,Evaluar el motivo del tratamiento y ver la entrada correspondiente. - No debe donar si: fue tomado por una enfermedad grave a largo plazo.,,,,,0,61,03/14/2018 19:35:25,03/14/2018 19:35:25
107,Desorden de bipolaridad,,,,Esta es una entrada nueva.,,0,143,03/14/2018 19:35:26,03/14/2018 19:35:26
108,"Diabetes Insípida ",No debe donar.,,,,,0,144,03/14/2018 19:35:26,03/14/2018 19:35:26
109,"Diabetes Mellitus ","No debe donar si: requiere medicación. ","Si es controlada solamente con dieta, se acepta.",,,,0,145,03/14/2018 19:35:26,03/14/2018 19:35:26
110,"Diarrea ","No debe donar si: a) Es crónico o asociado con una enfermedad intestinal inflamatoria; b) Han transcurrido menos de dos semanas desde la recuperación total. ",,,,,0,146,03/14/2018 19:35:26,03/14/2018 19:35:26
140,Encefalitis Transmitida por Garrapatas,,,,,,0,174,03/14/2018 19:35:26,03/14/2018 19:35:26
141,Encefalomielitis Miálgica,,,,,,0,175,03/14/2018 19:35:26,03/14/2018 19:35:26
314,Inmunización contra la Haemophilus Influenzae tipo B (HIB),,,,,,0,325,03/14/2018 19:35:28,03/14/2018 19:35:28
21,Anemia,"Informar al Centro de Transplantes si: las células provienen de un donante con un desorden hereditario. ","1. Historial de anemia: esto dene evaluarse en relación a su causa, estado actual y el tratamiento recibido. // 2. Deficiencia de hierro: a) Si no se encuentra bajo investigación o en tratamiento y la causa subyacente no es un motivo de exclusión, se acepta; b) Medicación preventiva, en oposición a la de tratamiento, puede ser aceptable. // 3. Otros tipos: a) Aceptar o rechazar de acuerdo a las pautas; b) En otros casos: referirse a un Oficial Médico Designado. ","Un transplante exitoso significará que el receptor producirá la misma sangre que el donante. Esto sería inaceptable para un trastorno sanguíneo homocigótico (forma mayor) pero probablemente podría aceptarse para un heterocigoto (forma menor, o rasgo). Al informar al centro de trasnplantes, los detalles pueden ser transmitidos a la persona que recibirá el transplante. Esto puede evitar problemas innecesarios en el futuro. Por ejemplo: buscar la causa de glóbulos rojos pequeños o anemia en una persona que se ha sometido a un transplante de un donante con talasemia menor (rasgo). Donar médula ósea disminuirá la concentración de hemoglobina. Personas con historial de anemia pueden no asimilar esta pérdida tan fácilmente como otras. Donar células madre de sangre periférica por aféresis puede resultar en una pérdida menor de hemoglobina.  ",,,0,62,03/14/2018 19:35:25,03/14/2018 19:35:25
22,Anemia de Células Falciformes,,,,,,0,63,03/14/2018 19:35:25,03/14/2018 19:35:25
23,"Anemia Hemolítica ",Ver: a) ¿Hay alguna entrada para esta condición?; b) Si no hay: referirse a un Oficial Médico Designado.,,"Para incluir una entrada a ""Anemia hemolítica"".",,,0,64,03/14/2018 19:35:25,03/14/2018 19:35:25
24,"Anestésico ",Donante de médula ósea: no debe donar si previamente ha tenido una reacción severa a la anestesia general.,,,,,0,65,03/14/2018 19:35:25,03/14/2018 19:35:25
25,"Angina de pecho ",No debe donar.,,"Un historial de angina indica que el donante tiene una enfermedad arterial coronaria. Remover sangre de su circulación puede poner al donante en riesgo de sufrir un ataque cardíaco. ",,,0,66,03/14/2018 19:35:25,03/14/2018 19:35:25
26,"Antiandrógenos ",,,,"Para incluir un link a ""AntIandrógenos""",,0,67,03/14/2018 19:35:25,03/14/2018 19:35:25
27,"Antiinflamatorios Noesteroideos ","Evaluar el motivo del tratamiento y ver la entrada correspondiente. - No debe donar si: fue tomado por una enfermedad grave a largo plazo, incluida enfermedad cardiovascular.","Si el medicamento es auto recetado y el donante cumple con otros criterios, se acepta.",,,,0,68,03/14/2018 19:35:25,03/14/2018 19:35:25
28,"Antimicóticos ",,,,,,0,69,03/14/2018 19:35:25,03/14/2018 19:35:25
29,"Antivirales ",,,,,,0,70,03/14/2018 19:35:25,03/14/2018 19:35:25
30,Ántrax Infección,,,,,,0,71,03/14/2018 19:35:25,03/14/2018 19:35:25
31,Exposición,,"Incluso si se encuentra bajo tratamiento con antibióticos profilácticos, es aceptado.","La infección por ántrax afecta más comúnmente a la piel a través del contacto directo con el material infectado, tal como pieles de animales. Si las esporas han sido inhaladas, no hay evidencia de que haya diseminación hacia el torrente sanguíneo hasta que la persona comience a desarrollar signos de infección. Por esta razón se considera seguro aceptar donantes que hayan estado expuestos, siempre que no hayan mostrado signos de infección, incluso si han recibido antibióticos profilácticos.",,,0,71,03/14/2018 19:35:25,03/14/2018 19:35:25
32,Inmunización,,,,,,0,71,03/14/2018 19:35:25,03/14/2018 19:35:25
33,Áreas Tropicales,,,,,,0,72,03/14/2018 19:35:25,03/14/2018 19:35:25
34,"Arritmias ",1. No debe donar si: es sintomático o requiere tratamiento. // 2. En otros casos: dirigirse a Oficial Médico Designado.,,Algunas irregularidades cardíacas pueden verse empeoradas por la pérdida de sangre o por la anestesia general. Puede ser necesario contactar al especialista que realizó el diagnóstico.,,,0,73,03/14/2018 19:35:25,03/14/2018 19:35:25
35,Arteritis Temporal,,,,"La entrada ha sido modificada para que mayor consistencia. ",,0,74,03/14/2018 19:35:25,03/14/2018 19:35:25
36,"Artritis ",,,,"Se agregó un link para ""Enfermedad autoinmune"". ",,0,75,03/14/2018 19:35:25,03/14/2018 19:35:25
37,"Artritis Reumatoidea ",,"Si es leve y el único tratamiento es con antiinflamatorios noesteroideos, se acepta.",,"Esta entrada ahora está linkeada a ""Enfermedad autoinmune"". ",,0,76,03/14/2018 19:35:25,03/14/2018 19:35:25
38,Asma,"1. Donante de médula ósea - No debe donar si: depende de otra medicación además de inhaladores. // 2. Donante de médula ósea y de células madre de sangre periférica - No debe donar si: a) El asma es sintomática; b) Se encuentra tomando o ha completado tratramiento de esteroides, orales o parenterales, en los últimos siete días.","Si es inducida por el ejercicio, se acepta.",El riesgo asociado con la anestesia general se incrementa en personas con asma. Recibir una donación de una persona con asma sintomática reducirá la cantidad de oxígeno que la sangre puede transportar y podría empeorar su condición. La terapia con esteroides puede ocultar los signos y síntomas de la infección. Las células madre de un donante infectado pueden ser peligrosas para el receptor.,,,0,77,03/14/2018 19:35:25,03/14/2018 19:35:25
39,"Ataques Isquémicos Transitorios ",No debe donar.,,,,,0,78,03/14/2018 19:35:25,03/14/2018 19:35:25
40,"Autocateterización ",No debe donar.,,Los donantes que necesitan autocateterizarse son propensos a tener bacteremia a raíz del procedimiento. Las bacterias en las donaciones puede provocar reacciones graves e incluso fatales.,,,0,79,03/14/2018 19:35:25,03/14/2018 19:35:25
41,"Avodart ",,,,,,0,80,03/14/2018 19:35:25,03/14/2018 19:35:25
42,"Babesiosis ",No debe donar,,,,,0,81,03/14/2018 19:35:25,03/14/2018 19:35:25
43,Basalioma,,,,,,0,82,03/14/2018 19:35:25,03/14/2018 19:35:25
44,"BCG ",No debe donar si: a) El lugar de inoculación aún no ha curado; b) Han transcurrido menos de cuatro semanas desde la inoculación.,,"La BCG es una inmunización con bacteria viva. A las cuatro semanas, la infección causada por la inoculación debería estar controlada. Si la herida aún no se ha curado, es posible que todavía haya una infección presente. No queremos pasar BCG u otras infecciones a las personas que recibirán el material donado.","El Comité Consultivo Permanente sobre Transfusión ha aconsejado que un período de cuatro semanas es suficiente para garantizar que no habrá virus o bacterias circulando al momento de la donación para la inmunización viva activada, además de la viruela. ",,0,83,03/14/2018 19:35:25,03/14/2018 19:35:25
142,Endocarditis,"No debe donar si: a) La infección se encuentra activa; b) Tiene un defecto cardíaco y le fueron recetados antibióticos durante el tratamiento (por ejemplo, dental) que puede resultar en bacteraemia.",,,"Esta nueva entrada reemplaza la entrada anterior ""Endocarditis bacterial subcutanea"". Reconoce que la causa de la endocarditis no es siempre bacteriana  y el curso no es siempre subagudo.",,0,176,03/14/2018 19:35:26,03/14/2018 19:35:26
143,EBS,,,,"Esta entrada es reemplazada por la entrada para ""Endocarditis"". Reconoce que la causa de la endocarditis no siempre es bacteriana y el curso no es siempre subagudo.",,0,177,03/14/2018 19:35:26,03/14/2018 19:35:26
144,Endometriosis,,Se acepta.,,,,0,178,03/14/2018 19:35:26,03/14/2018 19:35:26
145,"Enfermed de Manos, Pies y Boca",,,,,,0,179,03/14/2018 19:35:26,03/14/2018 19:35:26
45,"Betabloqueantes ",No debe donar si: a) Fueron usados para el tratamiento de una enfermedad cardiovascular; b) Fueron usados para controlar síntomas de enfermedad tiróidea.,"Si son usados para enfermedades no-cardiovasculares o el donante ha controlado la hipertensión, se acepta.","Los betabloqueantes son usualmente utilizados para tratar enfermedades cardíacas serias como  enfermedad de la arteria coronaria (angina y post infarto de miocardio) y arritmias (ritmo cardíaco anormal). También pueden ser utilizados para controlar síntomas asociados con una glándula tiroides hiperactiva. Los pacientes con estos trastornos no deben donar. A menudo se utilizan como tratamiento para la hipertensión (presión arterial alta). Hay evidencia que demuestra que donantes que están tomando betabloqueantes no tienen una mayor incidencia de eventos adversos relacionados con la donación. También son utilizados para tratar muchas otras afecciones, como migraña, temblores, ansiedad y glaucoma. En las mayoría de las situaciones, esto no debería ser un impedimento para la donación.","Se agregó un link para ""Trastornos de la ansiedad"". ",,0,84,03/14/2018 19:35:25,03/14/2018 19:35:25
46,"Biopsia de cono ",,,,,,0,85,03/14/2018 19:35:25,03/14/2018 19:35:25
47,"Biopsia de cono cervical ",,,,,,0,86,03/14/2018 19:35:25,03/14/2018 19:35:25
48,Biopsia de seno,,,,,,0,87,03/14/2018 19:35:25,03/14/2018 19:35:25
49,"Bocio ",,,,,,0,88,03/14/2018 19:35:25,03/14/2018 19:35:25
50,"Borreliosis (Enfermedad de Lyme) ",,,,,,0,89,03/14/2018 19:35:25,03/14/2018 19:35:25
51,Bronquitis Aguda,,,,,,0,90,03/14/2018 19:35:25,03/14/2018 19:35:25
52,Bronquitis Crónica,No debe donar si: a) Ataques repetidos y regulares de tos con esputo; b) Disnea en reposo o con mínimo esfuerzo.,,,,,0,90,03/14/2018 19:35:25,03/14/2018 19:35:25
53,Fiebre Ondulante,No debe donar.,,,,,0,91,03/14/2018 19:35:25,03/14/2018 19:35:25
54,"Bulto de seno ",No debe donar si: a) Es maligno; b) No se encuentra completamente estudiado y libre de malignidad.,,,,,0,92,03/14/2018 19:35:25,03/14/2018 19:35:25
55,"Cálculos Renales ",,,,,,0,93,03/14/2018 19:35:25,03/14/2018 19:35:25
56,Cambio de Sexo,,Se acepta. Se debería evaluar la concentración de hemoglobina de acuerdo al género asignado.,"Es necesario realizar una consideración cuidadosa y comprensiva de los factores de riesgo sexuales. No existe una restricción específica con respecto a la donación para el comportamiento sexual entre hombres, pero debe documentarse para facilitar una discusión en profundidad si el donante es potencialmente compatible con el receptor. Esto asegura que la práctica actual de evaluación de riesgo/beneficio individual previa a la donación luego continúe. La guía ha sido modificada de acuerdo con las recomendaciones del Consejo
Comité sobre la Seguridad de la Sangre, los Tejidos y los Órganos. Las recomendaciones han sido tenidas en cuenta por el Departamento Inglés de Salud y las autoridades descentralizadas en Escocia, Gales e Irlanda del Norte. La evaluación de la concentración de hemoglobina debe ser de acuerdo con el género asignado La mayor concentración de hemoglobina de los hombres, en comparación con las mujeres, está relacionada con niveles de testosterona. omo parte del proceso de reasignación de género, los niveles de hormonas sexuales son modificados para que una mujer que se convierte en hombre reciba testosterona. Esto dará como resultado que la concentración de hemoglobina se eleve al rango más alto visto en los hombres. Lo opuesto será cierto si un hombre se convierte en mujer. ",Para permitir la donación sin período de aplazamiento de donantes con antecedentes de conductas sexuales entre hombres. Se agregaron nuevos links.,,0,94,03/14/2018 19:35:25,03/14/2018 19:35:25
57,Cáncel de Piel,,,,,,0,95,03/14/2018 19:35:25,03/14/2018 19:35:25
58,"Cáncer ",,,,,,0,96,03/14/2018 19:35:25,03/14/2018 19:35:25
59,"Cándida ",,,,,,0,97,03/14/2018 19:35:25,03/14/2018 19:35:25
60,Candidiasis Oral,"No debe donar si: a) No se encuentra explicada; b) Está relacionada con inmunodeficiencia; c) Transcurrieron menos de siete días luego de completado el tratamiento. ",,,,,0,98,03/14/2018 19:35:25,03/14/2018 19:35:25
61,"Candidiasis Vaginal ",No debe donar si: a) No se encuentra explicada; b) Transcurrieron menos de siete días desde que recibió terapia sistémica.,"Si no está relacionada con inmunodeficiencia, aunque se esté utilizando terapia local, se acepta.",,,,0,99,03/14/2018 19:35:25,03/14/2018 19:35:25
62,"Cannabis ",,,,,,0,100,03/14/2018 19:35:25,03/14/2018 19:35:25
63,"Carcinoma cervical in situ ",No debe donar si: se encuentra bajo investigación o tratamiento.,"a) Si el estudio o tratamiento han finalizado, se acepta; b) Si solamente tiene revisión regular de frotis, se acepta.",,,,0,101,03/14/2018 19:35:25,03/14/2018 19:35:25
64,"Carcinoma de células basales ","No debe donar si: a) Continúa en tratamietno; b) Cualquier herida aún no se encuentra curada. ",,"Aunque el carcinoma de células basales es una forma de cáncer, sólo se disemina localmente. Como no se propaga por el torrente sanguíneo, no es un riesgo para las personas que reciben material donado. Una herida no curada genera el riesgo de que las bacterias entren a la sangre. Las bacterias pueden ser una amenaza seria para cualquiera que reciba material donado. Esto se debe a que la bacteria se puede multiplicar a niveles peligrosos.",,,0,102,03/14/2018 19:35:25,03/14/2018 19:35:25
65,Carcinoma Escamocelular,,,,,,0,103,03/14/2018 19:35:25,03/14/2018 19:35:25
66,Agudo,,,,,,0,104,03/14/2018 19:35:25,03/14/2018 19:35:25
67,Crónico,"Si tiene medicación prescripta: referirse al Oficial Médico Designado. ","Si solamente utiliza un anticongestivo nasal, se acepta.",,,,0,104,03/14/2018 19:35:25,03/14/2018 19:35:25
68,"Celiaquía ",,"Aceptado. ",,,,0,105,03/14/2018 19:35:25,03/14/2018 19:35:25
69,"CHIKV ",,,,,,0,106,03/14/2018 19:35:25,03/14/2018 19:35:25
70,"Cirrosis ","No debe donar. ",,,Se agregaron links adicionales.,,0,107,03/14/2018 19:35:25,03/14/2018 19:35:25
111,Dificultades de comunicación,"1. Todos los donantes deben: a) Tener completo entendimiento del proceso de donación; b) Dar su consentimiento informado del proceso y del testeo de su sangre en búsqueda de enfermedades que puedan afectar su idoneidad de uso. // 2. Intérpretes de terceros - Si van a estar presentes en cualquier parte del procedimiento de selección donde haya un intercambio de información confidencial entre el donante y profesional de la salud, deben: a) Comprender la importancia de realizar una traducción precisa y veraz de la
información proporcionada, para permitir que el establecimiento de tejidos/células cumpla con los requisitos regulatorios; b) No conocer personalmente al donante; c) Entender completamente su deber de confidencialidad y la naturaleza confidencial de cualquier información obtenida del donante.",,"Los Servicios son conscientes de sus deberes con respecto a la legislación antidiscriminación sobre Relaciones Raciales y Discapacidad, y cuando sea razonable, intentarán proporcionar facilidades para las personas cuyo primer idioma no sea el inglés, o tengan otras dificultades comunicacionales. Se aconseja a los potenciales donantes que tengan tales dificultades que soliciten asesoramiento a su Servicio Hematológico local antes de ofrecer donar células madre para ver si sus necesidades pueden ser satisfechas. // Todos los donantes deben: a) Ser provistos con material educativo preciso, escrito en términos comprensible para el público en general; b) Completar un cuestionario de historial médico y de salud, y someterse a una entrevista personal realizada por un profesional de la salud; c)  Proporcionar consentimiento informado por escrito para continuar con el proceso de donación que debe ser refrendado por el profesional de la salud responsable de obtener la historia clínica. Un profesional de la salud calificado puede ayudar a un donante a completar el cuestionario de la historia clínica y de salud, y en la comprensión de la declaración de consentimiento así como de cualquier otra información provista por el Servicio Hematológico. Para facilitar la comprensión, está permitido utilizar formatos alternativos para los folletos informativos de los donantes, el cuestionario del historial médico y de salud, y las declaraciones de consentimiento (por ejemplo: un idioma que no sea inglés, audio, computadora, Braille). El donante debe poder demostrar claramente que ha entendido el material. En la actualidad, no existe una forma estandarizada de evaluar la comprensión, de modo que esto quedará a criterio del profesional de la salud. // Uso de intérpretes de terceros - Está permitido que un tercero actúe como habilitador al ayudar a tranquilizar al donante y para ayudar a establecer una comunicación efectiva entre el donante y el profesional de la salud.  El tercero, sin embargo, no debe estar presente durante ningún intercambio de información confidencial, a menos que el donante no lo conozca personalmente y comprendiendo la necesidad de comunicar precisa y verazmente toda la información, incluyendo información personal y confidencial proporcionada por la persona que brinda el consentimiento. Las partes confidenciales del proceso incluyen la evaluación del cuestionario sobre el historial clínico y de salud, la entrevista médica y la obtención del consentimiento válido. Cualquier tercero, con el permiso del donante, puede acompañarlo durante otras etapas del proceso de donación que no incluya el intercambio de información confidencial. // Fundamento - Existe la preocupación de que la intervención de terceros durante cualquier intercambio de información confidencial entre el donante y el profesional de la salud pueda comprometer la confidencialidad del donante y la seguridad del material donado. Los intérpretes generalmente son parte de una comunidad cerrada, o un miembro de la familia, y esto puede inhibir o avergonzar al donante en cualquier intercambio de información confidencial. Esto puede resultar en la divulgación de información sensible que puede afectar la elegibilidad del individuo como donante. Si el tercero no es completamente consciente de la necesidad de comunicar toda la información con precisión y veracidad, incluyendo información personal y confidencial proporcionada por la persona que brinda el consentimiento, puede generar que la interpretación de dicha información sea incompleta y potencialmente poner en riesgo tanto al donante como al suministro de sangre. Existe también el requisito de informar los resultados de cualquier análisis realizado por los Servicios Hematológicos que puedan ser relevantes para la salud del donante, de manera que proteja su confidencialidad. La disponibilidad continua de un intérprete independiente, para mantener la confidencialidad del donante, debe ser tenida en cuenta a la hora de decidir si un individuo puede ser aceptado como donante. Para cumplir tanto con el Decreto sobre Tejidos Humanos como con las regulaciones de Seguridad e Higiene, no se puede aceptar ningún donante si pone innecesariamente en riesgo su seguridad o la de otros. ",1. Para aclarar que los intérpretes y traductores no deben entender todos los requisitos regulatorios del Decreto sobre Tejidos Humanos pero sí ser conscientes de la importancia de proveer una traducción precisa y veraz para permitirle a la institución cumplir con dichos requerimientos. // 2. Paara aclarar que los intérpretes y traductores tienen el deber de confidencialidad.,,0,147,03/14/2018 19:35:26,03/14/2018 19:35:26
112,"Difteria ",,,,,,0,148,03/14/2018 19:35:26,03/14/2018 19:35:26
113,"Digoxina ",No debe donar.,,,,,0,149,03/14/2018 19:35:26,03/14/2018 19:35:26
114,"Dilatación y Legrado ",,,,,,0,150,03/14/2018 19:35:26,03/14/2018 19:35:26
71,Cirugía,"No debe donar si: a) Es debido a malignidad; b) Todas las heridas no se encuentran curadas; c) Hay cualquier infección; d) No se modificó la movilidad normal del paciente; e) Pasaron menos de seis meses de una cirugía importante; f) Pasaron menos de siete días desde otra cirugía; g) Requiere tratamiento post operatorio, o atenderse regularmente en el hospital.","1. Malignidad: Si se trata de carcinoma de cuello uterino in situ (CIN) o carcinoma de células basales y todos los otros criterios se cumplen, se acepta. - 2. Cirugía importante:
a) Si se realiza a más de cuatro meses desde el procedimiento y NAT para el VHC, se acepta; b) Si transcurrieron menos de cuatro meses desde el procedimiento, referirse al Oficial Médico Designado, quien decidirá si el donante puede ser aceptado, evaluando los riesgos después de la discusión con el Centro de Trasplantes.","La cirugía puede causar una pérdida de sangre significativa. Es importante que los donantes que esperan una operación no se pongan en riesgo de anemia o de disminuir las reservas de hierro mediante la donación antes de la cirugía planificada. A menos que sea poco probable que el tipo de cirugía planificada resulte en una pérdida significativa de sangre, el donante debe diferirse hasta después de la cirugía planeada. Esto minimizará sus propias posibilidades de necesitar una transfusión lo que, por supuesto, le impediría continuar como donante. Es
también es importante no obstaculizar la recuperación del donante. Esto requiere esperar hasta que esté completamente recuperado antes de que done de nuevo. La cirugía puede colocar al donante en riesgo de infección, ya sea por heridas no cicatrizadas o debido a riesgos de infección del personal o equipo infectado. Aunque estos riesgos son muy pequeños, es importante esperar lo suficiente para que los riesgos hayan desaparecido o hasta que las pruebas realizadas por los Servicios hematológicos y de tejidos pueden detectar cualquier infección que pueda haber sido transmitida al donante por cirugía.","Se modfició la entrada para ""Discrecional"" y se agregó un link a ""Cirugía ocular"". ",,0,108,03/14/2018 19:35:25,03/14/2018 19:35:25
72,"Cirugía cardíaca ","No debe donar. ","Si es por enfermedad cardíaca congénita y no tiene ninguna discapacidad residual, no requiere antibióticos, y no se encuentra excluido debido a su historial de transfusiones: referirse al Oficial Médico Designado. ","Para los individuos que han tenido cirugía cardíaca, por otros motivos que anomalías congénitas, es poco probable que se encuentren lo suficientemente en forma para poder extraer un gran volumen de sangre. Un individuo que ha tenido anomalías congénitas que han sido corregidas usualmente puede llevar un estilo de vida normal y es posible que pueda donar sangre de manera segura. Si se dan los criterios establecidos como ""Discrecional"", el Oficial Médico Designado puede tomar una decisión documentada en base a la historia clínica del individuo.",,,0,109,03/14/2018 19:35:25,03/14/2018 19:35:25
73,"Cirugía cerebral ",,,,,,0,110,03/14/2018 19:35:25,03/14/2018 19:35:25
74,Cirugía de Columna,,,,,,0,111,03/14/2018 19:35:25,03/14/2018 19:35:25
75,"Cirugía de Disco ",,,,,,0,112,03/14/2018 19:35:25,03/14/2018 19:35:25
76,"Cirugía Ocular ",,,,,,0,113,03/14/2018 19:35:25,03/14/2018 19:35:25
77,"Cistitis ",,,,,,0,114,03/14/2018 19:35:26,03/14/2018 19:35:26
78,"Citomegalovirus ",,,,,,0,115,03/14/2018 19:35:26,03/14/2018 19:35:26
79,"Clamidia ",,,,"Se agregó un link a ""Linfogranuloma venéreo""",,0,116,03/14/2018 19:35:26,03/14/2018 19:35:26
80,"Claudicación Intermitente ",No debe donar.,,,,,0,117,03/14/2018 19:35:26,03/14/2018 19:35:26
81,"Colecistitis ",,,,,,0,118,03/14/2018 19:35:26,03/14/2018 19:35:26
82,Cólico Renal,No debe donar si: a) es sintomático; b) se encuentra bajo investigación.,,,,,0,119,03/14/2018 19:35:26,03/14/2018 19:35:26
83,"Colitis ",No debe donar si: a) Enfermedad de Crohn; b) Colitisulcerosa.,"Si han transcurrido más de dos semanas desde la recuperación total de una colitisulcerosa, se acepta.",,"Se agregó un link para ""Malignidad""",,0,120,03/14/2018 19:35:26,03/14/2018 19:35:26
84,"Colitis Ulcerosa ",,,,,,0,121,03/14/2018 19:35:26,03/14/2018 19:35:26
